image_name,xmin,ymin,xmax,ymax,class_id
000009.jpg,150,141,229,284,1
000009.jpg,285,201,327,331,1
000009.jpg,258,198,297,329,1
000017.jpg,185,62,279,199,1
000021.jpg,210,36,336,482,1
000021.jpg,46,82,170,365,1
000021.jpg,11,181,142,419,1
000023.jpg,2,1,117,369,1
000023.jpg,3,2,243,462,1
000023.jpg,225,1,334,486,1
000030.jpg,51,160,150,292,1
000030.jpg,295,138,450,290,1
000032.jpg,195,180,213,229,1
000032.jpg,26,189,44,238,1
000035.jpg,1,96,191,361,1
000035.jpg,218,98,465,318,1
000041.jpg,216,92,307,302,1
000041.jpg,164,148,227,244,1
000048.jpg,2,1,302,500,1
000050.jpg,68,96,293,375,1
000050.jpg,1,71,87,332,1
000050.jpg,185,68,259,197,1
000050.jpg,286,64,406,238,1
000066.jpg,209,187,228,230,1
000066.jpg,242,182,274,259,1
000066.jpg,269,188,295,259,1
000073.jpg,22,143,146,500,1
000081.jpg,198,156,341,231,1
000081.jpg,349,145,451,266,1
000081.jpg,61,162,170,333,1
000081.jpg,29,166,73,213,1
000081.jpg,298,246,433,333,1
000081.jpg,196,215,332,330,1
000081.jpg,270,298,324,333,1
000083.jpg,380,2,435,135,1
000083.jpg,138,14,193,115,1
000083.jpg,1,20,75,204,1
000083.jpg,60,48,114,156,1
000083.jpg,32,51,83,162,1
000089.jpg,20,7,183,355,1
000089.jpg,98,215,429,374,1
000089.jpg,332,140,455,366,1
000101.jpg,40,64,400,333,1
000104.jpg,291,75,442,333,1
000104.jpg,2,7,283,333,1
000110.jpg,79,233,110,314,1
000110.jpg,54,231,86,344,1
000113.jpg,277,101,354,260,1
000125.jpg,436,188,467,223,1
000125.jpg,382,209,415,272,1
000125.jpg,353,213,383,276,1
000129.jpg,74,1,272,462,1
000129.jpg,252,19,334,487,1
000133.jpg,73,18,406,500,1
000138.jpg,6,56,154,285,1
000138.jpg,145,58,283,258,1
000138.jpg,224,54,440,332,1
000138.jpg,363,96,500,332,1
000146.jpg,155,208,252,408,1
000150.jpg,353,54,379,108,1
000150.jpg,415,51,436,109,1
000159.jpg,234,48,286,124,1
000162.jpg,196,143,309,369,1
000163.jpg,52,22,308,328,1
000164.jpg,292,49,446,370,1
000165.jpg,89,54,500,386,1
000169.jpg,102,3,161,50,1
000169.jpg,419,39,444,81,1
000169.jpg,454,36,487,71,1
000170.jpg,3,91,43,206,1
000170.jpg,4,28,461,372,1
000171.jpg,94,21,375,491,1
000173.jpg,106,64,270,297,1
000174.jpg,143,5,426,333,1
000177.jpg,344,150,500,375,1
000177.jpg,321,85,456,362,1
000177.jpg,304,92,391,209,1
000177.jpg,280,88,337,172,1
000177.jpg,163,67,261,163,1
000177.jpg,125,94,164,166,1
000177.jpg,75,87,158,231,1
000177.jpg,1,112,97,375,1
000192.jpg,116,64,356,375,1
000193.jpg,80,4,500,375,1
000193.jpg,1,29,227,375,1
000194.jpg,115,19,203,136,1
000194.jpg,279,77,298,132,1
000200.jpg,28,19,103,167,1
000200.jpg,16,54,178,249,1
000200.jpg,147,23,245,249,1
000200.jpg,227,19,400,249,1
000200.jpg,391,13,500,249,1
000210.jpg,443,211,468,235,1
000210.jpg,15,214,37,240,1
000218.jpg,1,1,253,222,1
000220.jpg,265,147,312,187,1
000222.jpg,250,237,362,375,1
000222.jpg,114,236,227,375,1
000222.jpg,341,149,376,216,1
000222.jpg,158,191,185,221,1
000222.jpg,159,177,206,230,1
000222.jpg,252,178,311,228,1
000222.jpg,291,193,332,241,1
000222.jpg,318,209,373,330,1
000222.jpg,100,206,170,342,1
000222.jpg,444,283,500,375,1
000229.jpg,399,219,486,371,1
000229.jpg,341,161,432,298,1
000229.jpg,239,131,337,211,1
000229.jpg,148,144,211,255,1
000229.jpg,81,160,197,327,1
000229.jpg,2,188,107,375,1
000232.jpg,230,32,252,93,1
000245.jpg,303,139,329,171,1
000251.jpg,52,429,70,469,1
000257.jpg,20,142,222,375,1
000257.jpg,175,68,472,375,1
000259.jpg,171,1,499,361,1
000259.jpg,3,1,271,264,1
000269.jpg,227,56,497,213,1
000269.jpg,91,59,245,261,1
000269.jpg,37,134,203,332,1
000269.jpg,226,75,413,274,1
000269.jpg,258,114,477,332,1
000275.jpg,204,50,339,301,1
000276.jpg,129,163,230,319,1
000276.jpg,162,373,260,500,1
000276.jpg,32,373,140,500,1
000278.jpg,111,89,417,375,1
000282.jpg,327,104,476,300,1
000282.jpg,232,57,357,374,1
000282.jpg,3,32,199,374,1
000282.jpg,58,139,296,374,1
000285.jpg,224,77,462,375,1
000285.jpg,37,97,231,375,1
000288.jpg,443,163,479,283,1
000288.jpg,419,153,439,240,1
000288.jpg,440,156,450,230,1
000288.jpg,412,163,430,248,1
000288.jpg,407,194,422,251,1
000288.jpg,373,157,401,266,1
000288.jpg,330,169,380,252,1
000288.jpg,1,153,20,305,1
000288.jpg,1,110,33,244,1
000298.jpg,180,32,339,359,1
000302.jpg,133,244,184,367,1
000305.jpg,57,79,323,474,1
000308.jpg,351,100,433,190,1
000308.jpg,224,124,308,269,1
000308.jpg,144,153,243,321,1
000308.jpg,163,114,225,167,1
000308.jpg,216,107,276,154,1
000320.jpg,1,78,372,500,1
000321.jpg,44,167,249,458,1
000322.jpg,13,2,469,332,1
000323.jpg,277,3,500,375,1
000323.jpg,12,3,305,375,1
000328.jpg,116,62,174,226,1
000328.jpg,170,83,209,148,1
000328.jpg,362,70,414,204,1
000328.jpg,281,94,327,180,1
000331.jpg,149,254,358,467,1
000337.jpg,29,29,68,111,1
000337.jpg,119,4,162,53,1
000337.jpg,113,28,167,131,1
000337.jpg,242,17,288,103,1
000337.jpg,68,92,165,255,1
000337.jpg,235,30,403,362,1
000337.jpg,176,75,231,132,1
000338.jpg,197,91,216,116,1
000352.jpg,33,68,149,247,1
000352.jpg,131,68,210,249,1
000352.jpg,198,59,309,284,1
000352.jpg,294,83,500,375,1
000359.jpg,25,13,288,481,1
000367.jpg,174,66,295,265,1
000372.jpg,269,19,360,296,1
000374.jpg,125,2,316,344,1
000374.jpg,44,4,128,167,1
000374.jpg,315,31,352,112,1
000374.jpg,217,40,248,84,1
000374.jpg,21,43,51,127,1
000374.jpg,471,36,497,126,1
000374.jpg,447,36,472,117,1
000374.jpg,361,41,374,103,1
000382.jpg,100,265,119,298,1
000394.jpg,29,85,253,375,1
000394.jpg,1,23,344,307,1
000394.jpg,439,25,483,71,1
000407.jpg,210,33,328,191,1
000411.jpg,127,190,158,277,1
000411.jpg,199,194,233,275,1
000411.jpg,167,196,185,236,1
000411.jpg,88,193,119,294,1
000411.jpg,20,195,55,297,1
000411.jpg,65,185,90,293,1
000419.jpg,2,16,41,221,1
000419.jpg,61,1,109,62,1
000428.jpg,76,106,376,404,1
000433.jpg,196,56,454,357,1
000435.jpg,235,75,300,275,1
000438.jpg,240,56,432,332,1
000443.jpg,12,18,107,318,1
000446.jpg,130,167,230,476,1
000446.jpg,81,86,244,472,1
000448.jpg,229,57,314,167,1
000448.jpg,171,85,221,152,1
000448.jpg,88,71,142,112,1
000448.jpg,11,124,190,375,1
000448.jpg,47,92,225,286,1
000448.jpg,5,72,51,182,1
000448.jpg,251,65,357,188,1
000448.jpg,335,81,422,217,1
000448.jpg,345,107,500,338,1
000448.jpg,279,226,433,375,1
000463.jpg,221,47,283,161,1
000468.jpg,1,143,217,500,1
000468.jpg,6,191,330,500,1
000470.jpg,145,132,173,230,1
000476.jpg,126,110,358,373,1
000477.jpg,100,130,137,237,1
000477.jpg,151,131,181,246,1
000477.jpg,179,133,193,207,1
000477.jpg,193,135,231,287,1
000477.jpg,229,138,254,258,1
000477.jpg,255,121,298,278,1
000477.jpg,279,132,323,289,1
000477.jpg,301,130,339,316,1
000477.jpg,318,117,362,333,1
000477.jpg,332,131,400,332,1
000477.jpg,380,125,449,333,1
000477.jpg,427,125,500,333,1
000480.jpg,293,162,419,375,1
000480.jpg,114,165,228,373,1
000480.jpg,5,172,116,373,1
000482.jpg,33,103,58,137,1
000483.jpg,167,44,255,289,1
000498.jpg,114,256,201,496,1
000499.jpg,230,68,374,291,1
000500.jpg,88,51,218,375,1
000500.jpg,288,72,321,135,1
000500.jpg,231,71,253,135,1
000500.jpg,200,85,221,119,1
000500.jpg,97,75,123,114,1
000500.jpg,76,74,98,107,1
000516.jpg,1,9,500,375,1
000518.jpg,1,191,21,252,1
000520.jpg,74,79,334,451,1
000523.jpg,145,103,209,256,1
000523.jpg,212,187,304,417,1
000523.jpg,343,228,361,255,1
000524.jpg,252,78,312,238,1
000525.jpg,443,116,500,217,1
000525.jpg,104,113,169,219,1
000526.jpg,189,88,276,316,1
000526.jpg,259,73,440,320,1
000526.jpg,376,85,443,304,1
000530.jpg,1,113,183,408,1
000530.jpg,61,111,324,476,1
000530.jpg,159,61,217,168,1
000531.jpg,27,42,205,375,1
000531.jpg,150,31,362,373,1
000531.jpg,366,57,500,311,1
000535.jpg,206,55,316,239,1
000535.jpg,1,67,71,247,1
000535.jpg,130,92,171,207,1
000545.jpg,148,146,269,500,1
000545.jpg,287,173,330,250,1
000545.jpg,315,172,336,249,1
000545.jpg,144,174,171,244,1
000545.jpg,123,174,136,200,1
000545.jpg,50,174,63,206,1
000554.jpg,118,77,260,304,1
000555.jpg,266,63,332,181,1
000555.jpg,160,179,422,374,1
000555.jpg,1,174,186,374,1
000555.jpg,61,90,213,255,1
000555.jpg,157,79,261,217,1
000555.jpg,380,92,499,217,1
000579.jpg,315,123,389,259,1
000579.jpg,333,126,415,271,1
000589.jpg,73,1,315,375,1
000589.jpg,54,127,97,268,1
000589.jpg,1,118,33,300,1
000591.jpg,2,192,32,265,1
000591.jpg,20,185,68,250,1
000591.jpg,48,190,76,252,1
000591.jpg,75,191,100,280,1
000591.jpg,108,179,143,250,1
000591.jpg,473,199,489,234,1
000597.jpg,310,163,356,220,1
000597.jpg,459,168,497,208,1
000597.jpg,386,177,465,314,1
000612.jpg,158,144,375,500,1
000612.jpg,1,110,195,500,1
000613.jpg,31,110,184,333,1
000613.jpg,87,110,181,257,1
000613.jpg,137,103,194,224,1
000613.jpg,174,91,238,190,1
000613.jpg,206,102,245,154,1
000613.jpg,131,39,173,127,1
000613.jpg,256,84,311,129,1
000613.jpg,335,87,369,104,1
000613.jpg,377,85,408,108,1
000613.jpg,455,97,489,137,1
000613.jpg,301,127,465,332,1
000613.jpg,335,103,445,197,1
000613.jpg,328,95,382,179,1
000613.jpg,329,100,357,153,1
000625.jpg,395,209,486,294,1
000625.jpg,271,214,373,291,1
000625.jpg,270,274,372,334,1
000625.jpg,171,204,263,278,1
000625.jpg,76,194,164,273,1
000625.jpg,76,273,162,326,1
000625.jpg,67,82,169,160,1
000625.jpg,64,16,162,96,1
000625.jpg,174,17,274,92,1
000625.jpg,172,85,283,184,1
000625.jpg,279,21,376,110,1
000625.jpg,283,94,418,183,1
000625.jpg,389,88,500,183,1
000626.jpg,141,23,313,298,1
000633.jpg,2,22,339,375,1
000654.jpg,411,51,463,146,1
000654.jpg,368,49,424,146,1
000654.jpg,323,81,369,133,1
000654.jpg,114,61,171,139,1
000654.jpg,86,60,129,139,1
000677.jpg,66,54,333,436,1
000684.jpg,52,112,91,183,1
000684.jpg,77,101,241,314,1
000684.jpg,217,49,294,304,1
000684.jpg,285,22,361,366,1
000684.jpg,297,3,375,369,1
000688.jpg,73,14,97,82,1
000688.jpg,103,10,121,75,1
000688.jpg,117,1,134,78,1
000688.jpg,38,1,76,83,1
000688.jpg,1,1,46,96,1
000690.jpg,226,87,336,371,1
000694.jpg,282,151,379,375,1
000694.jpg,200,132,284,374,1
000694.jpg,376,160,460,375,1
000694.jpg,369,130,412,218,1
000694.jpg,83,167,191,297,1
000695.jpg,220,40,286,264,1
000695.jpg,471,94,500,189,1
000702.jpg,420,150,466,230,1
000709.jpg,120,63,334,355,1
000709.jpg,119,57,394,352,1
000717.jpg,230,39,308,341,1
000717.jpg,182,131,240,344,1
000717.jpg,15,199,146,372,1
000717.jpg,302,128,391,373,1
000717.jpg,440,128,500,375,1
000717.jpg,393,128,461,369,1
000717.jpg,47,146,149,373,1
000717.jpg,3,151,36,258,1
000726.jpg,153,45,274,333,1
000726.jpg,70,75,499,333,1
000731.jpg,13,75,300,373,1
000731.jpg,1,1,165,273,1
000733.jpg,48,25,273,383,1
000739.jpg,404,30,500,374,1
000739.jpg,386,83,479,374,1
000739.jpg,272,65,415,374,1
000739.jpg,239,55,335,374,1
000739.jpg,165,55,252,374,1
000739.jpg,97,66,193,374,1
000739.jpg,3,26,108,374,1
000742.jpg,212,99,296,253,1
000750.jpg,22,2,375,500,1
000752.jpg,225,118,500,319,1
000752.jpg,1,119,125,332,1
000753.jpg,263,99,352,227,1
000753.jpg,334,105,430,254,1
000753.jpg,351,99,500,373,1
000753.jpg,128,101,192,214,1
000753.jpg,55,108,189,373,1
000760.jpg,121,133,159,228,1
000760.jpg,215,144,243,227,1
000760.jpg,320,121,360,223,1
000760.jpg,373,131,410,192,1
000770.jpg,134,65,227,366,1
000777.jpg,224,1,361,209,1
000782.jpg,95,361,139,422,1
000793.jpg,289,100,316,183,1
000793.jpg,241,111,270,180,1
000793.jpg,218,107,236,178,1
000793.jpg,402,67,467,259,1
000793.jpg,65,110,84,161,1
000793.jpg,96,107,114,159,1
000793.jpg,100,78,190,282,1
000797.jpg,68,94,424,370,1
000799.jpg,230,225,500,441,1
